codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A001,24/10/2018,12,22.5,22.5,20.0,74,90,72,17.5,18.6,17.1,888.7,888.7,888.3,1.6,80,2.7,1142.,0.0
A001,24/10/2018,10,18.8,19.0,18.1,93,94,93,17.7,17.9,17.1,887.8,887.8,887.5,1.6,102,2.6,132.1,0.2
A001,24/10/2018,06,18.3,18.3,18.0,91,92,89,16.8,16.8,16.5,886.6,886.8,886.6,1.3,181,4.7,-1.95,0.0
A001,24/10/2018,22,22.5,24.4,22.4,81,81,68,19.1,19.3,18.0,886.0,886.0,885.6,1.0,255,2.3,4.111,0.0
A001,24/10/2018,11,20.0,20.0,18.8,90,93,90,18.3,18.5,17.7,888.3,888.3,887.8,0.8,107,2.6,486.1,0.0
A001,24/10/2018,04,19.2,19.3,19.0,92,93,92,17.8,18.0,17.7,887.8,888.4,887.8,2.4,121,4.4,-1.89,0.0
A001,24/10/2018,00,19.4,19.8,19.3,93,93,92,18.2,18.6,18.0,888.1,888.3,887.6,2.4,286,5.7,-1.19,0.2
A001,24/10/2018,01,19.4,19.4,19.2,93,93,92,18.1,18.2,18.0,888.5,888.6,888.0,3.2,218,5.4,-2.53,0.6
A001,24/10/2018,07,18.4,18.4,18.1,91,91,90,16.9,16.9,16.6,887.2,887.2,886.5,2.5,18,4.1,-1.91,0.0
A001,24/10/2018,13,24.4,24.5,22.1,68,75,68,18.2,19.0,16.6,888.8,888.8,888.7,2.5,66,5.6,2631.,0.2
A001,24/10/2018,17,25.6,26.2,25.6,59,60,54,16.9,17.2,16.3,885.9,886.8,885.9,2.8,345,7.2,417.2,0.0
A001,24/10/2018,02,19.1,19.4,19.1,92,93,92,17.7,18.2,17.7,888.2,888.8,888.0,1.4,200,5.1,-2.06,0.2
A001,24/10/2018,16,25.9,27.2,25.5,57,64,53,16.6,18.5,15.8,886.8,887.9,886.8,3.2,13,7.6,1326.,0.0
A001,24/10/2018,14,26.2,26.3,24.3,61,71,59,18.2,19.1,17.4,888.6,888.8,888.5,2.2,44,6.5,3201.,0.0
A001,24/10/2018,23,22.0,22.5,21.8,83,85,79,19.0,19.4,18.2,886.5,886.5,885.9,0.5,124,1.4,-3.54,0.0
A001,24/10/2018,09,18.1,18.1,17.6,94,94,93,17.1,17.1,16.5,887.5,887.6,887.4,0.2,63,4.1,-0.08,5.2
A001,24/10/2018,08,17.6,18.4,17.6,93,93,90,16.5,17.1,16.4,887.6,887.7,887.2,2.6,345,5.4,0.278,3.4
A001,24/10/2018,03,19.2,19.3,18.7,93,93,92,18.0,18.0,17.4,888.4,888.5,888.1,1.8,36,3.7,-2.86,0.0
A001,24/10/2018,15,25.6,26.3,25.2,63,64,59,17.9,18.2,17.0,887.9,888.6,887.9,2.1,34,5.8,1649.,0.0
A001,24/10/2018,19,26.0,26.0,25.4,59,61,56,17.4,17.4,16.3,884.8,884.8,884.5,1.9,318,4.9,873.8,0.0
A001,24/10/2018,18,25.6,25.6,25.2,59,61,56,16.9,17.4,16.0,884.8,885.9,884.8,2.1,338,5.6,692.2,0.0
A001,24/10/2018,20,25.2,26.0,25.2,65,66,57,18.2,18.5,16.7,884.7,884.8,884.6,1.3,285,4.6,513.0,0.0
A001,24/10/2018,05,18.3,19.3,18.2,89,92,87,16.5,17.9,16.1,886.8,887.8,886.8,2.7,140,5.9,1.405,0.0
A001,24/10/2018,21,24.3,25.2,24.3,68,70,64,18.0,18.5,17.9,885.6,885.6,884.7,1.3,309,2.3,180.6,0.0
A001,25/10/2018,00,22.2,22.4,21.4,79,85,78,18.4,19.2,18.3,887.5,887.5,886.5,1.3,262,3.6,-3.44,0.0
A001,25/10/2018,09,18.8,18.9,18.7,90,91,90,17.2,17.3,17.1,887.4,887.4,886.6,2.8,124,6.7,0.021,0.0
A001,25/10/2018,12,21.5,21.5,19.7,81,87,81,18.0,18.3,17.2,889.0,889.0,888.6,3.2,106,6.8,1123.,0.0
A001,25/10/2018,11,19.8,20.1,18.9,86,90,84,17.4,17.6,17.1,888.6,888.6,888.1,3.3,107,8.2,656.1,0.0
A001,25/10/2018,07,18.6,19.0,18.6,90,90,89,17.0,17.2,16.9,886.1,886.2,886.0,2.0,151,5.0,-3.54,0.0
A001,25/10/2018,04,20.4,20.9,20.4,85,85,82,17.8,18.0,17.7,887.2,887.8,887.2,3.2,212,6.0,-3.11,0.0
A001,25/10/2018,01,22.2,22.3,22.1,77,79,77,17.9,18.4,17.9,888.2,888.2,887.5,1.0,241,2.7,-3.45,0.0
A001,25/10/2018,14,23.6,23.8,21.9,74,79,72,18.6,18.9,17.8,888.8,889.0,888.8,2.3,130,5.4,2649.,0.0
A001,25/10/2018,08,18.7,18.8,18.6,91,91,90,17.2,17.3,17.0,886.6,886.6,886.1,3.5,137,7.0,-2.92,0.0
A001,25/10/2018,02,21.1,22.2,20.8,85,86,77,18.5,18.7,17.8,888.1,888.2,887.9,1.4,227,2.8,-3.33,0.0
A001,25/10/2018,05,19.5,20.4,19.5,88,88,85,17.5,17.8,17.4,886.6,887.2,886.5,2.8,183,7.8,-3.53,0.0
A001,25/10/2018,15,25.1,25.6,23.6,64,76,64,17.8,20.1,17.8,888.0,888.8,888.0,3.2,97,5.8,2892.,0.0
A001,25/10/2018,10,18.9,19.0,18.8,90,90,90,17.3,17.3,17.0,888.1,888.1,887.4,3.8,110,8.2,70.94,0.0
A001,25/10/2018,20,19.4,19.8,19.2,90,91,88,17.8,17.9,17.4,885.1,885.7,885.0,0.6,76,2.5,60.19,2.0
A001,25/10/2018,16,19.8,26.4,19.8,80,80,58,16.1,18.9,15.5,887.3,888.0,887.1,3.8,309,8.3,1972.,1.2
A001,25/10/2018,18,19.8,20.3,19.5,88,88,84,17.8,17.9,17.2,886.0,886.6,885.9,2.0,221,5.9,129.4,0.0
A001,25/10/2018,17,19.5,19.7,18.6,87,93,80,17.2,18.1,16.6,886.0,887.4,886.0,1.8,17,8.3,207.6,14.6
A001,25/10/2018,19,19.8,20.0,19.6,88,89,85,17.7,17.8,17.3,885.7,886.0,885.7,0.9,161,4.1,56.38,0.2
A001,25/10/2018,22,19.4,19.7,19.2,93,93,92,18.2,18.4,18.0,886.1,886.5,886.0,0.3,101,2.0,1.976,0.0
A001,25/10/2018,23,19.8,19.8,19.2,93,93,93,18.6,18.6,18.0,886.5,886.5,886.1,0.7,84,3.1,-2.77,0.0
A001,25/10/2018,13,22.1,22.4,21.1,79,83,77,18.2,18.6,17.6,889.0,889.1,888.9,2.6,135,6.6,1829.,0.0
A001,25/10/2018,06,19.0,19.6,19.0,89,90,88,17.2,17.6,17.2,886.0,886.6,885.9,2.4,168,6.6,-3.04,0.0
